Issue,Volume,Title,Subtitle,Keywords,Abstract,Keywords,Link
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Pieter Cornelis Muysken (1950–2021),,,,https://benjamins.com//catalog/jpcl.00090.muy
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Annegret Bollée (1937–2021),,,,https://benjamins.com//catalog/jpcl.00091.bol
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Context matters,Grenadian students’ attitudes towards newscasters’ and teachers’ accents,"language attitudes, Standard English, contextualization, Grenada, education, newscasting, verbal guise technique","This paper presents the results of two largely parallel verbal guise studies that elicited students’ attitudes toward different standard varieties of English. The studies were conducted in the small anglophone Caribbean island country of Grenada. The two studies were contextualized in the domains of education and newscasting, respectively, with the aim of finding out how language attitudes are influenced by context in societies where different endo- and exonormative standards are of relevance. As hypothesized, the results revealed strong differences between the evaluations of speakers of the two domains and confirm that contextualization is crucial in language attitude research. Against previous hypotheses, however, the acceptance of endonormative standard accents was stronger in the more globally open context of newscasting than in the more locally restricted domain of education. The results are discussed against the background of the sociolinguistic situation in Grenada and inform on endonormativity and norm orientation in one of the underresearched island countries of the anglophone Caribbean.",https://benjamins.com//catalog/jpcl.00085.han
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Marking statements of fact in early pidgins,,"Arabic pidgins, copula, existential, factual marker, work-related jargons","The particle fi is used in Classical Arabic as a local and temporal preposition, ‘in’. In the contemporary Arabic dialects, it has the same meaning, but in addition it is used in some dialects as an existential, ‘there is/are’. In a number of Arabic work-related pidgins, such as Gulf Pidgin Arabic and Pidgin Madame, fi has acquired new functions. It does not only denote nominal predication, location, and possession, but is also used in combination with verbal forms. Several proposals have been made to explain this use of fī. Avram (2012) regards fī as a progressive aspect marker, while Potsdam & Alanazi (2014) deny the verbal nature of the construction and regard fī as a copula. Bakir (2014) analyzes fī as a marker of verbality of the predicate. The present paper suggests that the general function of fi is to mark the link between topic and focus as assertive rather than modal and looks for parallels of this use in a few other work-related pidgins.",https://benjamins.com//catalog/jpcl.00086.ver
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Zamboanga Chavacano,From español de cocina to un poquito español.A postcolonial inquiry into creole language preservation,"chabacano , Spanish creoles, contact languages, endangered languages, area studies, cultural studies, Hispanic, heritage, identity, postcolonial linguistics, postcolonial discourse","Existing literature on Philippine languages is rife with references to Chavacano, the hypernym for Spanish-based creoles spoken in various parts of the archipelago. Variants of Chavacano are characterised in historical accounts as ‘a corrupt Spanish dialect’ with depreciative labels such as español de tienda ‘hawker Spanish’ or español de cocina ‘kitchen Spanish’. The concerted assertion of this creole’s degeneracy is a legacy of colonial knowledge production. Since the genesis of the Philippine creoles, much has changed as to their usage both from a linguistic and a social viewpoint. It is in this social dimension that we locate the present study. Of the three main varieties of Chavacano, spoken in Cavite City, Ternate, and Zamboanga respectively, this paper zeroes in on the third as the Mindanaoan variety is the healthiest to date. We wish to interrogate the trajectory of its social status, from its characterisation as a degenerate variant of Spanish to its privileged position in contemporary Zamboanga City as a Hispanic identity marker (Chavacano un poquito español ‘Chavacano slightly Spanish’). Nuancing the role played in language preservation efforts by Zamboangueño elites, this study highlights the singularity of a creolophone community, who, through the politicisation of heritage, has subverted the ideological marginality of their Creole mother tongue and appropriated it to be the hallmark of their ethnic identity.",https://benjamins.com//catalog/jpcl.00087.mel
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),The syntax of directional Serial Verb Constructions in French-based creoles,,"serial verb constructions, French-Based Creoles, Martinican, Haitian, Mauritian","This article bears on directional Serial Verb Constructions (SVCs) in French-based creoles. Starting with a working definition of our topic of study, we present a detailed description of the data in Martinican Creole (MQ) – whose grammar is similar in the relevant respects to that of Haitian (HC). Four different structural patterns are distinguished. Our results bring partial support to Aboh’s (2015) assumption that the emergence of Haitian SVCs might have resulted from congruence between Gbe SVCs (analysed as ‘causative-like’) and French Clause Union. We argue that this idea finds further confirmation in cross-creole comparison, but only concerns one type of (directional) SVC.",https://benjamins.com//catalog/jpcl.00088.her
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),The vitality of Angolar,A study of attitudes on São Tomé Island,"language attitudes, language endangerment, Angolar Creole, Angolares, São Tomé Island","This article examines Santomeans’ attitudes toward Angolares, a minority creole-speaking community descendant of maroons on São Tomé Island, and their language. The status of Angolar varies from vigorous to shifting, depending on the source, and according to Maurer (2013), it is unclear whether Angolar is being passed on to new generations. In this article, it is argued that Angolares are shifting toward Portuguese, a process that has already commenced among Santomeans living in the capital. Since prevailing attitudes regarding a language are important for its use and maintenance, this study investigates the transmission of attitudes, beliefs and stereotypes as a possible explanation for the actual shift toward Portuguese in the country. Based on ethnography, analysis of interview excerpts, and questionnaires, an account of the attitudes held by Santomeans is provided, showing how different attitudes toward Angolares are intertwined and point toward rural, creole-speaking Angolares as being the lowest on the social scale of the island. This article demonstrates how attitudes held by Forros, the dominant ethnolinguistic group on São Tomé Island, as well as by Angolares themselves, may negatively impact the maintenance of Angolar Creole.",https://benjamins.com//catalog/jpcl.00089.bou
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Empiricism or imperialism,The science of Creole Exceptionalism,,,https://benjamins.com//catalog/jpcl.00092.mea
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),Review of Ponsonnet (2020): Difference and Repetition in Language Shift to a Creole. The Expression of Emotions,,,,https://benjamins.com//catalog/jpcl.00093.spe
Journal of Pidgin and Creole Languages 37:1,Volume 37 (2022),"Review of Hagemeijer, Maurer-Cecchini & Zamora Segorbe (2020): A Grammar of Fa d’Ambô",,,,https://benjamins.com//catalog/jpcl.00094.hag
