Issue,Article Title,Abstract,DOI Link,Cambridge Link
Volume 33 - Issue 2 - July 2021,Aspects of change in New York City English short-a,"This article focuses on change in the “short-a system” of New York City English (NYCE). Recent results suggest that a complex set of tensing rules traditionally described for NYCE are being replaced by several simpler systems. This article reports on a study of this change using a recently developed large audio-aligned parsed speech corpus (CoNYCE). This change is similar to the simplification reported for Philadelphia by Labov et al. (2016). Unlike in the Philadelphia case, however, our results do not show evidence of a single abstract process of change. Our findings, rather, suggest at least two separate changes in the community—one affecting short-a in prenasal contexts and a second affecting pre-oral obstruent contexts. In addition, the results suggest an additional independent process of lowering and retraction affecting short-a sounds in contexts not targeted by the process of phonological reorganization, that is, “trap-backing.”",https://doi.org/10.1017/S0954394521000120,https://www.cambridge.org/core/journals/language-variation-and-change/article/aspects-of-change-in-new-york-city-english-shorta/4601F94DA82FE23D09A2F8A80EDA9DD5
Volume 33 - Issue 2 - July 2021,"Crosslinguistic perceptions of /s/ among English, French, and German listeners","This study reports the results of a crosslinguistic matched guise test examining /s/ and pitch variation in judgments of sexual orientation and nonnormative masculinity among English, French, and German listeners. Listeners responded to /s/ and pitch manipulations in native and other language stimuli (English, French, German, and Estonian). All listener groups rate higher pitch guises as more gay- and effeminate-sounding than lower pitch guises. However, only English listeners hear [s+] guises as more gay- and effeminate-sounding than [s] or [s−] guises for all stimuli languages. French and German listeners do not hear [s+] guises as more gay- or effeminate-sounding in any stimulus language, despite this feature's presence in native speech production. English listener results show evidence of indexical transfer, when indexical knowledge is applied to the perception of unknown languages. French and German listener results show how the enregistered status of /s/ variation affects perception, despite crosslinguistic similarities in production.",https://doi.org/10.1017/S0954394521000089,https://www.cambridge.org/core/journals/language-variation-and-change/article/crosslinguistic-perceptions-of-s-among-english-french-and-german-listeners/C7D3D413978DA764C2F669AC83300DF1
Volume 33 - Issue 2 - July 2021,Do Creoles conform to typological patterns? Habitual marking in Palenquero,"It is widely debated whether creole languages form a typological class; however, crosslinguistic generalizations from functional typology are seldom tested in creoles. Typological studies report a strong crosslinguistic tendency for asymmetries in habitual grammatical expressions across the present and past temporal reference domains (Bybee, 1994:245–8; Bybee, Perkins, & Pagliuca, 1994:151–60). This study analyzes two linguistic variants, preverbal asé and zero, which compete for habitual marking in Palenquero Creole (Colombia). I ask here: To what degree does the linguistic patterning of these forms conform to the crosslinguistic tendency? Results show that, despite Palenquero having widely cited creole features (e.g., preverbal markers and bare verb stems), the asymmetrical expression, distribution, and relative ordering of forms in the variable contexts closely align with crosslinguistic predictions for habituals, thus giving convincing evidence of typological markedness and not a Creole Prototype.",https://doi.org/10.1017/S0954394521000053,https://www.cambridge.org/core/journals/language-variation-and-change/article/do-creoles-conform-to-typological-patterns-habitual-marking-in-palenquero/3737831531BD30B2A062C0006F32BC9E
Volume 33 - Issue 2 - July 2021,New and old puzzles in the morphological conditioning of coronal stop deletion,"This paper probes the well-documented morphological effect on coronal stop deletion (CSD, also called /t,d/-deletion), by which there is more deletion in monomorphemes like mist than in regular past tense forms like missed. We observe that there are, in principle, additional morphological distinctions that could be made within each category: for instance, the “regular past” category contains perfect and passive participles; the “monomorpheme” category typically contains compounds and suffixed forms. We demonstrate that several of these newly introduced distinctions actually have significant effects on CSD rates in a corpus of Philadelphia English. And we argue that these new distinctions are worth attending to because they have consequences for two existing accounts of the basic morphological effect. In each case, we show that the existing accounts do not straightforwardly capture the additional significant distinctions we identify, calling the explanatory power of those accounts into question.",https://doi.org/10.1017/S0954394521000119,https://www.cambridge.org/core/journals/language-variation-and-change/article/new-and-old-puzzles-in-the-morphological-conditioning-of-coronal-stop-deletion/924C81072C6870597AD220EC2D6F8A4B
Volume 33 - Issue 2 - July 2021,Gender separation and the speech community: Rhoticity in early 20th century Southland New Zealand English,"The existence of a shared constraint hierarchy is one of the criteria that defines and delimits speech communities. In particular, women and men are thought to differ only in their rates of variable usage, not in the constraints governing their variation; that is, women and men are typically considered to belong to the same speech community. We find that in early twentieth century Southland, New Zealand, women and men had different constraint hierarchies for rhoticity, with a community grammar of rhoticity only developing later. These results may be a product of a particular set of sociohistorical facts thatare not peculiar to Southland. We suggest that further research in other geographical locations may indeed reveal that men and women have different constraint hierarchies for other variables. Speech communities may thus be delimited along social lines in ways that have not been previously considered.",https://doi.org/10.1017/S0954394521000090,https://www.cambridge.org/core/journals/language-variation-and-change/article/gender-separation-and-the-speech-community-rhoticity-in-early-20th-century-southland-new-zealand-english/D8D2F3AAB2FD0870FC4B6B288F255B96
Volume 33 - Issue 2 - July 2021,Do Creoles conform to typological patterns? Habitual marking in Palenquero—Erratum,,https://doi.org/10.1017/S0954394521000156,https://www.cambridge.org/core/journals/language-variation-and-change/article/do-creoles-conform-to-typological-patterns-habitual-marking-in-palenqueroerratum/B9F83FBDC35B0469393B5E4DF2669DC3
Volume 33 - Issue 1 - March 2021,Lects in Helsinki Finnish - a probabilistic component modeling approach,"This article examines Finnish lects spoken in Helsinki from the 1970s to the 2010s with a probabilistic model called Latent Dirichlet Allocation. The model searches for underlying components based on the linguistic features used in the interviews. Several coherent lects were discovered as components in the data, which counters the results of previous studies that report only weak covariation between features that are assumed to be present in the same lect. The speakers, however, are not categorical in their linguistic behavior and tend to use more than one lect in their speech. This implies that the lects should not be considered in parallel with seemingly uniform linguistic systems such as languages, but as partial systems that constitute a network.",https://doi.org/10.1017/S0954394521000041,https://www.cambridge.org/core/journals/language-variation-and-change/article/lects-in-helsinki-finnish-a-probabilistic-component-modeling-approach/F7B8DDC87103F2D250C53617EBFAAE7A
Volume 33 - Issue 1 - March 2021,Perceptual validation of vowel normalization methods for variationist research,"The evaluation of normalization methods sometimes focuses on the maximization of vowel-space similarity. This focus can lead to the adoption of methods that erase legitimate phonetic variation from our data, that is, overnormalization. First, a production corpus is presented that highlights three types of variation in formant patterns: uniform scaling, nonuniform scaling, and centralization. Then the results of two perceptual experiments are presented, both suggesting that listeners tend to ignore variation according to uniform scaling, while associating nonuniform scaling and centralization with phonetic differences. Overall, results suggest that normalization methods that remove variation not according to uniform scaling can remove legitimate phonetic variation from vowel formant data. As a result, although these methods can provide more similar vowel spaces, they do so by erasing phonetic variation from vowel data that may be socially and linguistically meaningful, including a potential male-female difference in the low vowels in our corpus.",https://doi.org/10.1017/S0954394521000016,https://www.cambridge.org/core/journals/language-variation-and-change/article/perceptual-validation-of-vowel-normalization-methods-for-variationist-research/2DB044A9B705299DB1B09FB0B40C2C03
Volume 33 - Issue 1 - March 2021,In memoriam Anthony Kroch (1946–2021),,https://doi.org/10.1017/S0954394521000107,https://www.cambridge.org/core/journals/language-variation-and-change/article/in-memoriam-anthony-kroch-19462021/4B03037A2D25EE84C933BB96BAD5C805
Volume 33 - Issue 1 - March 2021,Vague eggs and tags: Prevelar merger in Seattle,"This study describes prevelar merger, the raising of low-front /æ, ɛ/ and lowering of mid-front /e/ before the voiced velar /ɡ/, in Seattle, Washington. In the most advanced part of this change in progress, all twenty speakers (age 18–62, half men, half women, all white) produced /ɛɡ/ and /eɡ/ (beg, vague) as upgliding diphthongs merged in F1 and F2 directly between their nonprevelar counterparts (dress, face). /æɡ/ (bag) was also diphthongal, but its height varied between speakers, with middle-aged men showing near-complete three-way merger with beg-vague and younger speakers raising less, suggesting reversal or avoidance of this component. Previous work lacked information about vague and thus described bag- and beg-raising as failing to reach the height of nonprevelar face. This study revealed that vague is lowered, creating a merger target for both raised beg and bag within a separate diphthongal prevelar subsystem.",https://doi.org/10.1017/S0954394521000028,https://www.cambridge.org/core/journals/language-variation-and-change/article/vague-eggs-and-tags-prevelar-merger-in-seattle/2717EDBB5B2D4FC13B8D9A4ED762DE9C
